Large Batch Optimization for Deep Learning: Training BERT in 76 minutes,"

Yang You
, 
Jing Li
, 
Sashank Reddi
, 
Jonathan Hseu
, 
Sanjiv Kumar
, 
Srinadh Bhojanapalli
, 
Xiaodan Song
, 
James Demmel
, 
Kurt Keutzer
, 
Cho-Jui Hsieh

","large-batch optimization
distributed training
fast optimizer",A fast optimizer for general applications and large-batch training.
Learning to Group: A Bottom-Up Framework for 3D Part Discovery in Unseen Categories,"

Tiange Luo
, 
Kaichun Mo
, 
Zhiao Huang
, 
Jiarui Xu
, 
Siyu Hu
, 
Liwei Wang
, 
Hao Su

","Shape Segmentation
Zero-Shot Learning
Learning Representations","A zero-shot segmentation framework for 3D shapes. Model the segmentation as a decision-making process, we propose an iterative method to dynamically extend the receptive field for achieving universal shape segmentation."
Discriminative Particle Filter Reinforcement Learning for Complex Partial observations,"

Xiao Ma
, 
Peter Karkus
, 
David Hsu
, 
Wee Sun Lee
, 
Nan Ye

","Reinforcement Learning
Partial Observability
Differentiable Particle Filtering","We introduce DPFRL, a framework for reinforcement learning under partial and complex observations with an importance-weighted particle filter"
Unrestricted Adversarial Examples via Semantic Manipulation,"

Anand Bhattad
, 
Min Jin Chong
, 
Kaizhao Liang
, 
Bo Li
, 
D. A. Forsyth

","Adversarial Examples
Semantic Manipulation
Image Colorization
Texture Transfer",We introduce unrestricted perturbations that manipulate semantically meaningful image-based visual descriptors - color and texture - in order to generate effective and  photorealistic adversarial examples.
Classification-Based Anomaly Detection for General Data,"

Liron Bergman
, 
Yedid Hoshen

",anomaly detection,"Anomaly detection method that uses: openset techniques for better generalization, random-transformation classification for non-image data."
Scale-Equivariant Steerable Networks,"

Ivan Sosnovik
, 
Michał Szmaja
, 
Arnold Smeulders

","Scale Equivariance
Steerable Filters",
On Generalization Error Bounds of Noisy Gradient Methods for Non-Convex Learning,"

Jian Li
, 
Xuanyuan Luo
, 
Mingda Qiao

","learning theory
generalization
nonconvex learning
stochastic gradient descent
Langevin dynamics","We give some generalization error bounds of noisy gradient methods such as SGLD, Langevin dynamics, noisy momentum and so forth."
Consistency Regularization for Generative Adversarial Networks,"

Han Zhang
, 
Zizhao Zhang
, 
Augustus Odena
, 
Honglak Lee

","Generative Adversarial Networks
Consistency Regularization
GAN",
Differentiable learning of numerical rules in knowledge graphs,"

Po-Wei Wang
, 
Daria Stepanova
, 
Csaba Domokos
, 
J. Zico Kolter

","knowledge graphs
rule learning
differentiable neural logic",We present an efficient approach to integrating numerical comparisons into differentiable rule learning in knowledge graphs
Learning to Move with Affordance Maps,"

William Qi
, 
Ravi Teja Mullapudi
, 
Saurabh Gupta
, 
Deva Ramanan

","navigation
exploration","We address the task of autonomous exploration and navigation using spatial affordance maps that can be learned in a self-supervised manner, these outperform classic geometric baselines while being more sample efficient than contemporary RL algorithms"
"Neural tangent kernels, transportation mappings, and universal approximation","

Ziwei Ji
, 
Matus Telgarsky
, 
Ruicheng Xian

","Neural Tangent Kernel
universal approximation
Barron
transport mapping","The NTK linearization is a universal approximator, even when looking arbitrarily close to initialization"
SCALOR: Generative World Models with Scalable Object Representations,"

Jindong Jiang*
, 
Sepehr Janghorbani*
, 
Gerard De Melo
, 
Sungjin Ahn

",,
Prediction Poisoning: Towards Defenses Against DNN Model Stealing Attacks,"

Tribhuvanesh Orekondy
, 
Bernt Schiele
, 
Mario Fritz

","model functionality stealing
adversarial machine learning",We propose the first approach that can resist DNN model stealing/extraction attacks
Domain Adaptive Multibranch Networks,"

Róger Bermúdez-Chacón
, 
Mathieu Salzmann
, 
Pascal Fua

","Domain Adaptation
Computer Vision","A Multiflow Network is a dynamic architecture for domain adaptation that learns potentially different computational graphs per domain, so as to map them to a common representation where inference can be performed in a domain-agnostic fashion."
DiffTaichi: Differentiable Programming for Physical Simulation,"

Yuanming Hu
, 
Luke Anderson
, 
Tzu-Mao Li
, 
Qi Sun
, 
Nathan Carr
, 
Jonathan Ragan-Kelley
, 
Fredo Durand

","Differentiable programming
robotics
optimal control
physical simulation
machine learning system","We study the problem of learning and optimizing through physical simulations via differentiable programming, using our proposed DiffSim programming language and compiler."
Pitfalls of In-Domain Uncertainty Estimation and Ensembling in Deep Learning,"

Arsenii Ashukha
, 
Alexander Lyzhov
, 
Dmitry Molchanov
, 
Dmitry Vetrov

","uncertainty
in-domain uncertainty
deep ensembles
ensemble learning
deep learning",We highlight the problems with common metrics of in-domain uncertainty and perform a broad study of modern ensembling techniques.
Episodic Reinforcement Learning with Associative Memory,"

Guangxiang Zhu*
, 
Zichuan Lin*
, 
Guangwen Yang
, 
Chongjie Zhang

","Deep Reinforcement Learning
Episodic Control
Episodic Memory
Associative Memory
Non-Parametric Method
Sample Efficiency",
Sub-policy Adaptation for Hierarchical Reinforcement Learning,"

Alexander Li
, 
Carlos Florensa
, 
Ignasi Clavera
, 
Pieter Abbeel

","Hierarchical Reinforcement Learning
Transfer
Skill Discovery","We propose HiPPO, a stable Hierarchical Reinforcement Learning algorithm that can train several levels of the hierarchy simultaneously, giving good performance both in skill discovery and adaptation."
Critical initialisation in continuous approximations of binary neural networks,"

George Stamatescu
, 
Federica Gerace
, 
Carlo Lucibello
, 
Ian Fuss
, 
Langford White

",,signal propagation theory applied to continuous surrogates of binary nets;  counter intuitive initialisation; reparameterisation trick not helpful
Deep Orientation Uncertainty Learning based on a Bingham Loss,"

Igor Gilitschenski
, 
Roshni Sahoo
, 
Wilko Schwarting
, 
Alexander Amini
, 
Sertac Karaman
, 
Daniela Rus

","Orientation Estimation
Directional Statistics
Bingham Distribution",A method for learning to predict uncertainties over orientations using the Bingham Distribution
Co-Attentive Equivariant Neural Networks: Focusing Equivariance On Transformations Co-Occurring in Data,"

David W. Romero
, 
Mark Hoogendoorn

","Equivariant Neural Networks
Attention Mechanisms
Deep Learning",We utilize attention to restrict equivariant neural networks to the set or co-occurring transformations in data. 
Mixed Precision DNNs: All you need is a good parametrization,"

Stefan Uhlich
, 
Lukas Mauch
, 
Fabien Cardinaux
, 
Kazuki Yoshiyama
, 
Javier Alonso Garcia
, 
Stephen Tiedemann
, 
Thomas Kemp
, 
Akira Nakamura

","Deep Neural Network Compression
Quantization
Straight through gradients",
Information Geometry of Orthogonal Initializations and Training,"

Piotr Aleksander Sokół
, 
Il Memming Park

","Fisher
mean-field
deep learning","nearly isometric DNN initializations imply low parameter space curvature, and a lower condition number, but that's not always great"
Extreme Classification via Adversarial Softmax Approximation,"

Robert Bamler
, 
Stephan Mandt

","Extreme classification
negative sampling","An efficient, unbiased approximation of the softmax loss function for extreme classification"
Learning Nearly Decomposable Value Functions Via Communication Minimization,"

Tonghan Wang*
, 
Jianhao Wang*
, 
Chongyi Zheng
, 
Chongjie Zhang

","Multi-agent reinforcement learning
Nearly decomposable value function
Minimized communication
Multi-agent systems",
Robust Subspace Recovery Layer for Unsupervised Anomaly Detection,"

Chieh-Hsin Lai
, 
Dongmian Zou
, 
Gilad Lerman

","robust subspace recovery
unsupervised anomaly detection
outliers
latent space
autoencoder",This work proposes an autoencoder with a novel robust subspace recovery layer for unsupervised anomaly detection and demonstrates state-of-the-art results on various datasets.
Learning to Coordinate Manipulation Skills via Skill Behavior Diversification,"

Youngwoon Lee
, 
Jingyun Yang
, 
Joseph J. Lim

","reinforcement learning
hierarchical reinforcement learning
modular framework
skill coordination
bimanual manipulation",We propose to tackle complex tasks of multiple agents by learning composable primitive skills and coordination of the skills. 
NAS-Bench-1Shot1: Benchmarking and Dissecting One-shot Neural Architecture Search,"

Arber Zela
, 
Julien Siems
, 
Frank Hutter

","Neural Architecture Search
Deep Learning
Computer Vision",
Conservative Uncertainty Estimation By Fitting Prior Networks,"

Kamil Ciosek
, 
Vincent Fortuin
, 
Ryota Tomioka
, 
Katja Hofmann
, 
Richard Turner

","uncertainty quantification
deep learning
Gaussian process
epistemic uncertainty
random network
prior
Bayesian inference",We provide theoretical support to uncertainty estimates for deep learning obtained fitting random priors.
Understanding Generalization in Recurrent Neural Networks,"

Zhuozhuo Tu
, 
Fengxiang He
, 
Dacheng Tao

","generalization
recurrent neural networks
learning theory",We prove generalization bounds for recurrent neural networks based on matrix 1-norm and Fisher-Rao norm.
The Shape of Data: Intrinsic Distance for Data Distributions,"

Anton Tsitsulin
, 
Marina Munkhoeva
, 
Davide Mottin
, 
Panagiotis Karras
, 
Alex Bronstein
, 
Ivan Oseledets
, 
Emmanuel Mueller

","Deep Learning
Generative Models
Nonlinear Dimensionality Reduction
Manifold Learning
Similarity and Distance Learning
Spectral Methods",We propose a metric for comparing data distributions based on their geometry while not relying on any positional information.
How to 0wn the NAS in Your Spare Time,"

Sanghyun Hong
, 
Michael Davinroy
, 
Yiǧitcan Kaya
, 
Dana Dachman-Soled
, 
Tudor Dumitraş

",Reconstructing Novel Deep Learning Systems,"We design an algorithm that reconstructs the key components of a novel deep learning system by exploiting a small amount of information leakage from a cache side-channel attack, Flush+Reload."
Enabling Deep Spiking Neural Networks with Hybrid Conversion and Spike Timing Dependent Backpropagation,"

Nitin Rathi
, 
Gopalakrishnan Srinivasan
, 
Priyadarshini Panda
, 
Kaushik Roy

","spiking neural networks
ann-snn conversion
spike-based backpropagation
imagenet",A hybrid training technique that combines ANN-SNN conversion and spike-based backpropagation to optimize training effort and inference latency.
BREAKING CERTIFIED DEFENSES: SEMANTIC ADVERSARIAL EXAMPLES WITH SPOOFED ROBUSTNESS CERTIFICATES,"

Amin Ghiasi
, 
Ali Shafahi
, 
Tom Goldstein

",,
Query-efficient Meta Attack to Deep Neural Networks,"

Jiawei Du
, 
Hu Zhang
, 
Joey Tianyi Zhou
, 
Yi Yang
, 
Jiashi Feng

","Adversarial attack
Meta learning",
Massively Multilingual Sparse Word Representations,"

Gábor Berend

","sparse word representations
multilinguality
sparse coding",We propose an efficient algorithm for determining multilingually comparable sparse word representations that we release for 27 typologically diverse languages.
Monotonic Multihead Attention,"

Xutai Ma
, 
Juan Miguel Pino
, 
James Cross
, 
Liezl Puzon
, 
Jiatao Gu

","Simultaneous Translation
Transformer
Monotonic Attention",Make the transformer streamable with monotonic attention.
Gradients as Features for Deep Representation Learning,"

Fangzhou Mu
, 
Yingyu Liang
, 
Yin Li

","representation learning
gradient features
deep learning","Given a pre-trained model, we explored the per-sample gradients of the model parameters relative to a task-specific loss, and constructed a linear model that combines gradients of model parameters and the activation of the model."
"Pay Attention to Features, Transfer Learn Faster CNNs","

Kafeng Wang
, 
Xitong Gao
, 
Yiren Zhao
, 
Xingjian Li
, 
Dejing Dou
, 
Cheng-Zhong Xu

","transfer learning
pruning
faster CNNs","We introduce attentive feature distillation and selection, to fine-tune a large model and produce a faster one."
